f1,f2,f3,f4,f5,ax,ay,az,posture,label
1092.7,271.3,497.5,3371.5,236.8,-2051.6,-2461.2,-15725.6,A,
1093.5,271.6,498.1,3373.7,239.5,-2046.0,-2591.2,-15800.4,A,
1093.8,271.9,498.4,3374.9,239.9,-2089.6,-2667.6,-15814.4,A,
1094.8,270.9,498.3,3374.7,241.2,-2137.2,-2769.2,-15800.0,A,
1094.4,270.3,498.3,3369.6,238.7,-2230.8,-2804.4,-15760.0,A,
1094.8,270.8,497.7,3368.4,238.8,-2318.0,-2845.6,-15784.4,A,
1096.4,269.3,498.1,3368.2,238.0,-2305.2,-2852.0,-15803.6,A,
1095.7,271.0,498.4,3367.4,238.2,-2325.2,-2886.0,-15799.6,A,
1094.9,271.5,499.3,3368.1,238.2,-2313.2,-2912.4,-15768.0,A,
1097.9,271.3,499.2,3368.2,239.1,-2332.4,-2965.2,-15649.2,A,
1098.9,270.9,498.7,3366.3,239.8,-2388.0,-2969.2,-15602.4,A,
1098.8,270.9,498.4,3365.6,240.2,-2420.4,-2944.0,-15547.6,A,
1098.4,271.0,498.1,3365.0,242.2,-2378.8,-2917.2,-15497.6,A,
1096.9,270.7,498.2,3365.0,241.9,-2273.6,-2896.0,-15517.2,A,
1096.6,271.6,498.4,3365.1,239.6,-2125.6,-2841.2,-15511.6,A,
1096.9,270.3,498.7,3365.8,239.7,-2038.4,-2859.2,-15503.6,A,
1094.0,270.0,498.8,3365.1,239.9,-1972.0,-2880.4,-15570.0,A,
1094.2,265.4,498.3,3366.1,239.8,-1936.4,-2909.2,-15608.0,A,
1091.1,263.1,497.1,3365.2,239.5,-1879.6,-2868.8,-15660.0,A,
1089.8,263.1,497.4,3365.2,239.5,-1997.6,-2746.8,-15677.6,A,
1089.8,263.1,498.1,3365.9,240.0,-2092.0,-2680.4,-15659.6,A,
1088.9,262.8,497.8,3366.0,239.6,-2209.2,-2678.0,-15521.6,A,
1089.0,262.4,497.7,3365.6,237.0,-2369.2,-2655.6,-15292.4,A,
1090.5,262.7,497.6,3366.0,236.9,-2516.8,-2671.6,-15053.6,A,
1089.5,262.4,497.6,3366.2,239.6,-2618.4,-2784.8,-14959.2,A,
1089.9,263.0,497.6,3365.8,239.5,-2477.2,-2804.8,-14934.8,A,
1092.1,262.8,497.0,3365.1,240.0,-2534.0,-2750.0,-14781.6,A,
1093.0,267.3,497.3,3364.7,240.0,-2519.2,-2637.2,-14850.0,A,
1098.2,268.3,501.5,3364.1,240.1,-2527.6,-2590.0,-14968.0,A,
1099.5,268.4,501.6,3364.0,240.1,-2287.6,-2652.4,-15049.2,A,
1098.8,268.6,504.2,3360.6,240.1,-2126.8,-2720.4,-15154.8,A,
1099.6,268.7,504.5,3360.5,240.1,-1916.0,-2707.6,-15376.4,A,
1099.7,268.7,504.6,3365.1,240.4,-1760.8,-2746.0,-15610.0,A,
1098.8,268.7,504.6,3365.7,240.1,-1689.2,-2801.6,-15831.6,A,
1100.5,268.8,504.7,3365.7,239.6,-1684.0,-2822.8,-15896.8,A,
1100.4,269.3,504.7,3365.6,239.7,-1838.8,-2824.4,-15868.8,A,
1102.7,272.1,504.7,3366.2,238.3,-1815.6,-2881.2,-15940.8,A,
1102.7,270.6,504.7,3366.2,238.6,-1786.4,-2972.0,-15875.2,A,
1101.7,270.1,501.5,3366.5,238.8,-1788.8,-3032.0,-15708.4,A,
1100.7,270.2,501.3,3365.9,238.8,-1816.0,-3058.0,-15705.2,A,
1099.9,270.5,499.1,3369.9,238.8,-1749.2,-3098.4,-15632.4,A,
1098.8,270.7,498.8,3370.1,238.8,-1734.8,-3149.6,-15538.4,A,
1096.4,270.6,499.0,3366.0,238.7,-1664.0,-3168.4,-15514.4,A,
1097.4,270.9,499.0,3365.0,239.1,-1654.8,-3130.0,-15452.0,A,
1096.6,271.0,498.7,3365.3,239.0,-1614.4,-3064.8,-15514.4,A,
